Name;Rarity;Trait;Level;Price;Bulk;Usage;from;description
Scholarly Journal;Uncommon;Uncommon;3;6 gp;L;;base;
Survey Map;Uncommon;Uncommon;3;10 gp;L;;base;
Lock (Average);Common;;3;15 gp;;;base;
Compass (Lensatic);Common;;3;20 gp;;;base;
Crowbar (Levered);Common;;3;20 gp;L;;base;
Fishing Tackle (Professional);Common;;3;20 gp;1;;base;
Manacles (Average);Common;;3;20 gp;;;base;
Sun Goggles;Common;;3;20 gp;;worn eyepiece;base;
Concealed Sheath;Common;;3;25 gp;;;base;
Detective's Kit;Common;;3;25 gp;1;;base;
Repair Toolkit (Superb);Common;;3;25 gp;1;;base;
Scholarly Journal (Compendium);Uncommon;Uncommon;3;30 gp;L;;base;
Climbing Kit (Extreme);Common;;3;40 gp;1;;base;
Disguise Kit (Elite);Common;;3;40 gp;L;;base;
Magnifying Glass;Common;;3;40 gp;;;base;
Artisan's Toolkit (Sterling);Common;;3;50 gp;2;;base;
Healer's Toolkit (Expanded);Common;;3;50 gp;1;;base;
Musical Instrument (Virtuoso Handheld);Common;;3;50 gp;1;;base;
Survey Map (Atlas);Uncommon;Uncommon;3;50 gp;L;;base;
Thieves' Toolkit (Infiltrator);Common;;3;50 gp;L;;base;
Alchemist's Lab (Expanded);Common;;3;55 gp;6;;base;
Clothing (High-Fashion Fine);Common;;3;55 gp;L;;base;
Snare Kit (Specialist);Common;;3;55 gp;2;;base;
Musical Instrument (Virtuoso Heavy);Common;;3;100 gp;16;;base;
Fetters (Average);Common;;4;30 gp;L;;base;
Spyglass (Fine);Common;;4;80 gp;L;;base;
Lock (Good);Common;;9;200 gp;;;base;
Manacles (Good);Common;;9;250 gp;;;base;
Fetters (Good);Common;;10;330 gp;L;;base;
Lock (Superior);Common;;17;4,500 gp;;;base;
Manacles (Superior);Common;;17;5,000 gp;;;base;
Fetters (Superior);Common;;18;7,500 gp;L;;base;
